,,,,,,,,,,,,,,,,
Información estática del cliente — se llena una sola vez,,,,,,,,,,,,,,,,
IDENTIFICACIÓN,,CLASIFICACIÓN,INFORMACIÓN DE CONTACTO,,,,UBICACIÓN & WEB,,,Enriquecimiento,,,,,,
ID,Empresa,Status,Contacto principal,Emails,Teléfono(s),Formulario,Área geográfica,Website / Dominio,Linkelind URL,Status enriquecimiento,Fecha enriquecimiento,Perfil,Hook 1,Hook 2,Email encontrado en,Notas agente
99,Plant Professionals,,,info@plantprofessionals.com,(305) 259-0503,,,https://plantprofessionals.com/,,ENRICHED,2026-07-14,VETERAN,"your reviews live on Angi, Yelp and Houzz, not your own site",10 service-area pages built but review counts trail the map-pack leaders,Ya en hoja (col E),12+ yrs design/build+maint; sitio fuerte (service+area pages); Angi 4.0/HomeAdvisor 4.6
100,Visualscape Inc,,,ivila@visualscapeinc.com,(305) 362-2404,,,https://www.visualscapeinc.com/,,ENRICHED,2026-07-14,VETERAN,"30 years and a top-4% contractor score, but invisible in search","commercial/RFP buyer, case studies beat 'near me'",Ya en hoja (col E),Comercial/RFP; 30+ yrs; sitio JS (client-rendered); Class A arborist. cold-email: credibilidad
101,P.H.B. Landscaping & Nursery,,,phb.landscaping@aol.com,(305) 255-4000,,,https://www.phblandscaping.com/,,ENRICHED,2026-07-14,VETERAN,25 years in business but the site is static HTML with no service-area pages,no schema and a dated template hide you for 'landscaping near me' Miami,Ya en hoja (col E),25+ yrs familiar; nursery+landscaping+irrigation+tree; template antiguo
102,Casaplanta Garden Center,,,Landscapesolutions@casaplantamiami.com,(786) 314-9925,,,https://www.casaplantamiami.com/,,ENRICHED,2026-07-14,INVISIBLE,your landscape division is buried under the garden-center retail site,site hours last updated 2023 and the Instagram feed is broken,Ya en hoja (col E),"ATENCION: garden center retail + division de landscaping (res/com/maint). Retail-primary, validar ICP"
103,Sugar Green Gardens,,,info@sugargreengardens.com,(786) 490-9597,,,https://www.sugargreengardens.com/,,ENRICHED,2026-07-14,INVISIBLE,your Houzz profile does the ranking your Wix site can't,"great city pages for Coral Gables and Pinecrest, but on a Wix template",Ya en hoja (col E),"Diseno luxury residencial; 5* Houzz/Google, Best of 2024; Wix; alto valor design-build"
104,Romy Landscaping,,,romylandscapingdesign@gmail.com,(954) 218-7773,,,https://romylandscaping.com/,,ENRICHED,2026-07-14,INVISIBLE,"you built Kendall, Pinecrest and Hialeah pages but Yelp still outranks them","5.0 on HomeAdvisor, yet those reviews don't show in Google search",Ya en hoja (col E),Diseno/borders/sod/walkways residencial; city+service pages; sitio JS
105,Landscaping by George,,,,(786) 801-2971,Yes,,https://www.landscapingbygeorge-fl.com/,,SKIP,2026-07-14,,,,,Sin email — SKIP por instruccion de Eddie; correr email-hunter para conseguir contacto
106,Reef Landscape & Tree Services,,,office@reeflandscaping.com,(305) 735-4668,,,https://reeftreelandscape.com/,,ENRICHED,2026-07-14,INVISIBLE,your 'Design/Build/Maintain' section still has gym-template filler copy,brand-new site but the blog is just the default 'Hello world!' post,Ya en hoja (col E),20+ yrs Keys+South Miami; full-service; sitio nuevo 2025 con copy plantilla
107,Landscaping by Steve Blaum,,,info@blaumlandscaping.com,(305) 662-7045,,,https://www.blaumlandscaping.com/,,ENRICHED,2026-07-14,VETERAN,32 Google reviews at 4.5 but Houzz still outranks your own site,developers call you 'best in Miami' yet you're invisible for 'landscaper Coral Gables',Ya en hoja (col E),30+ yrs luxury Coral Gables; com+res; 32 GMB reviews 4.5
